,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
167,0047296,On the Waterfront,1954,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,Pat Henning
168,0083658,Blade Runner,1982,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh
169,0050986,Wild Strawberries,1957,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,Jullan Kindahl
170,0107290,Jurassic Park,1993,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck
171,0266543,Finding Nemo,2003,Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett
172,1205489,Gran Torino,2008,Clint Eastwood,Christopher Carley,Bee Vang,Ahney Her,Brian Haley
173,0116282,Fargo,1996,William H. Macy,Steve Buscemi,Peter Stormare,Kristin Rudrüd,Harve Presnell
174,0266697,Kill Bill: Vol. 1,2003,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,David Carradine
175,0077416,The Deer Hunter,1978,Robert De Niro,John Cazale,John Savage,Christopher Walken,Meryl Streep
176,0046438,Tokyo Story,1953,Chishû Ryû,Chieko Higashiyama,Setsuko Hara,Haruko Sugimura,Sô Yamamura
177,0118715,The Big Lebowski,1998,Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi,David Huddleston
178,0079944,Stalker,1979,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,Natalya Abramova
179,0120382,The Truman Show,1998,Jim Carrey,Laura Linney,Noah Emmerich,Natascha McElhone,Holland Taylor
180,3011894,Wild Tales,2014,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,Marcelo Frasca
181,0978762,Mary and Max,2009,Christopher Massey,Oliver Marks,Daisy Kocher,Daniel Marks,Hamish Hughes
182,2119532,Hacksaw Ridge,2016,Andrew Garfield,Richard Pyros,Jacob Warner,Milo Gibson,Darcy Bryce
183,2267998,Gone Girl,2014,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Carrie Coon
184,0107207,In the Name of the Father,1993,Alison Crosbie,Daniel Day-Lewis,Philip King,Emma Thompson,Nye Heron
185,0015324,Sherlock Jr.,1924,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,Ward Crane
186,0017925,The General,1926,Marion Mack,Glen Cavender,Jim Farley,Frederick Vroom,Charles Henry Smith
187,0892769,How to Train Your Dragon,2010,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill
188,0031679,Mr. Smith Goes to Washington,1939,Jean Arthur,James Stewart,Claude Rains,Edward Arnold,Guy Kibbee
189,0040725,The Red Shoes,1948,Marius Goring,Jean Short,Gordon Littmann,Julia Lang,Bill Shine
190,2278388,The Grand Budapest Hotel,2014,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,Willem Dafoe
191,0353969,Memories of Murder,2003,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,Jae-ho Song,Hee-Bong Byun
192,0060827,Persona,1966,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,Jörgen Lindström
193,0112471,Before Sunrise,1995,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Karl Bruckschwaiger
194,0264464,Catch Me If You Can,2002,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Nathalie Baye
195,0758758,Into the Wild,2007,Emile Hirsch,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker
196,0046268,The Wages of Fear,1953,Paul Newman,George Kennedy,J.D. Cannon,Lou Antonio,Robert Drivas
197,0061512,Cool Hand Luke,1967,Yves Montand,Charles Vanel,Folco Lulli,Peter van Eyck,Véra Clouzot
